,hhid,longitude,latitude,altitude,kebele
19259,DT0101988,37.76023,12.98357,2587,DT01
19260,DT0101984,37.77028,12.98356,2602,DT01
19261,DT0601525,37.81694,12.97702,2597,DT06
19262,DT0101978,37.76348,12.98354,2585,DT01
19263,DT1301392,37.87962,12.98957,2605,DT13
19264,DT0101977,37.76938,12.98354,2620,DT01
19265,DT0101976,37.6469,12.98354,2506,DT01
19266,DT0101975,37.76022,12.98354,2582,DT01
19267,DT0101974,37.76017,12.98352,2576,DT01
19268,DT0101346,37.76459,12.98112,2577,DT01
19269,DT0101971,37.76525,12.98352,2604,DT01
19270,DT0101970,37.76604,12.98352,2596,DT01
19271,DT0101966,37.76194,12.98351,2574,DT01
19272,DT0102396,37.76135,12.98072,2576,DT01
19273,DT0101965,37.76194,12.98351,2574,DT01
19274,DT0101964,37.76071,12.9835,2583,DT01
19275,DT0101962,37.76251,12.9835,1581,DT01
19276,dt0101960,37.76066,12.9835,2585,dt01
19277,DT0103209,37.76422,12.98169,2586,DT01
19278,DT0101956,37.76189,12.98349,2587,DT01
19279,DT0101955,37.76046,12.98349,2588,DT01
19280,dt0101953,37.76123,12.98348,2566,dt01
19281,DT0101951,37.75932,12.97971,2570,DT01
19282,DT0103277,37.7594,12.97969,2570,DT01
19283,DT0102219,37.75426,12.97683,2585,DT01
19284,DT0101947,37.75566,12.98348,2586,DT01
19285,DT0102033,37.75546,12.97715,2575,DT01
19286,DT0102032,37.75546,12.97715,2575,DT01
19287,dt0101945,37.75566,12.98347,2586,dt01
19288,DT0101944,37.75566,12.98347,2586,DT01
19289,DT0101943,37.7553,12.98347,2591,DT01
19290,DT0101938,37.75771,12.97506,2574,DT01
19291,DT0103242,37.77034,12.98603,2591,DT01
19292,DT0101204,37.75781,12.97482,2573,DT01
19293,DT0102234,37.75502,12.97437,2580,DT01
19294,DT0101935,37.75372,12.98344,2593,DT01
19295,DT0101932,37.75431,12.97202,2594,DT01
19296,DT0101923,37.74566,12.9834,2641,DT01
19297,DT0101930,37.75502,12.98342,2598,DT01
19298,DT0101929,37.75503,12.98342,2594,DT01
19299,DT0101928,37.77663,12.98342,2598,DT01
19300,DT0101927,37.7664,12.98341,2599,DT01
19301,DT0101926,37.76655,12.9834,2585,DT01
19302,DT0101925,37.76515,12.9834,2584,DT01
19303,DT0101924,37.76238,12.9834,2583,DT01
19304,DT0101922,37.76479,12.9834,2605,DT01
19305,DT0101921,37.76492,12.9834,2602,DT01
19306,DT0103029,37.45498,12.58528,2577,DT01
19307,DT0101919,37.75646,12.98339,2654,DT01
19308,DT0101917,37.75288,12.9707,2582,DT01
19309,DT0101915,37.76208,12.98075,2594,DT01
19310,DT0101914,37.76071,12.98079,2583,DT01
19311,DT0103122,37.77194,12.98429,2612,DT01
19312,DT0101913,37.76091,12.98016,2577,DT01
